FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:11734:6829	1	1	S	0	A0
WTCHG_18627:2:100:11741:4329	1	1	S	0	A0
WTCHG_18627:2:100:11752:17356	1	1	S	0	A0
WTCHG_18627:2:100:11775:13963	1	1	S	0	A0
WTCHG_18627:2:100:11787:4810	1	1	S	0	A0
WTCHG_18627:2:100:11791:19860	1	1	S	0	A0
WTCHG_18627:2:100:11793:9736	1	1	S	0	A0
WTCHG_18627:2:100:11798:7674	1	1	S	0	A0
WTCHG_18627:2:100:11812:3200	1	1	S	0	A0
WTCHG_18627:2:100:11833:13568	1	1	S	0	A0
WTCHG_18627:2:100:11839:8468	1	1	S	0	A0
WTCHG_18627:2:100:11849:1844	1	1	S	0	A0
WTCHG_18627:2:100:11857:17944	1	1	S	0	A0
WTCHG_18627:2:100:11861:18725	1	1	S	0	A0
WTCHG_18627:2:100:11872:3493	1	1	S	0	A0
WTCHG_18627:2:100:11879:12508	1	1	S	0	A0
WTCHG_18627:2:100:11879:16838	1	1	S	0	A0
WTCHG_18627:2:100:11882:4400	1	1	S	0	A0
WTCHG_18627:2:100:11883:5527	1	1	S	0	A0
WTCHG_18627:2:100:11887:11805	1	1	S	0	A0
WTCHG_18627:2:100:11906:9952	1	1	S	0	A0
WTCHG_18627:2:100:11909:6590	1	1	S	0	A0
WTCHG_18627:2:100:11916:4583	1	1	S	0	A0
WTCHG_18627:2:100:11917:1076	1	1	S	0	A0
WTCHG_18627:2:100:11950:18753	1	1	S	0	A0
WTCHG_18627:2:100:11951:4869	1	1	S	0	A0
WTCHG_18627:2:100:11968:11933	1	1	S	0	A0
WTCHG_18627:2:100:11968:9591	1	1	S	0	A0
WTCHG_18627:2:100:1196:9323	1	1	S	0	A0
WTCHG_18627:2:100:11976:18706	1	1	S	0	A0
WTCHG_18627:2:100:11976:3306	1	1	S	0	A0
WTCHG_18627:2:100:11985:21001	1	1	S	0	A0
WTCHG_18627:2:100:11994:1200	1	1	S	0	A0
WTCHG_18627:2:100:12012:8971	1	1	S	0	A0
WTCHG_18627:2:100:12030:1176	1	1	S	0	A0
WTCHG_18627:2:100:12037:20916	1	1	S	0	A0
WTCHG_18627:2:100:12045:7680	1	1	S	0	A0
WTCHG_18627:2:100:12047:14153	1	1	S	0	A0
WTCHG_18627:2:100:12071:8806	1	1	S	0	A0
WTCHG_18627:2:100:12078:6753	1	1	S	0	A0
WTCHG_18627:2:100:12083:18379	1	1	S	0	A0
WTCHG_18627:2:100:12091:4645	1	1	S	0	A0
WTCHG_18627:2:100:12101:1275	1	1	S	0	A0
WTCHG_18627:2:100:12115:3048	1	1	S	0	A0
WTCHG_18627:2:100:12117:13853	1	1	S	0	A0
WTCHG_18627:2:100:12121:2184	1	1	S	0	A0
WTCHG_18627:2:100:12122:15047	1	1	S	0	A0
WTCHG_18627:2:100:12127:5462	1	1	S	0	A0
WTCHG_18627:2:100:12134:2271	1	1	S	0	A0
WTCHG_18627:2:100:12135:13885	1	1	S	0	A0
WTCHG_18627:2:100:12164:20697	1	1	S	0	A0
WTCHG_18627:2:100:12167:7061	1	1	S	0	A0
WTCHG_18627:2:100:12177:13540	1	1	S	0	A0
